instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,lag
35,7/2/2011,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,1005
36,8/2/2011,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,1623
37,9/2/2011,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,1712
38,10/2/2011,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,1530
39,11/2/2011,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,1605
40,12/2/2011,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,1538
41,13/2/2011,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,1746
42,14/2/2011,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,1472
43,15/2/2011,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,1589
44,16/2/2011,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,1913
45,17/2/2011,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,1815
46,18/2/2011,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,2115
47,19/2/2011,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,2475
48,20/2/2011,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,2927
49,21/2/2011,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,1635
50,22/2/2011,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,1812
51,23/2/2011,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,1107
52,24/2/2011,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,1450
53,25/2/2011,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,1917
54,26/2/2011,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,1807
55,27/2/2011,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,1461
56,28/2/2011,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,1969
57,1/3/2011,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,2402
58,2/3/2011,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,1446
59,3/3/2011,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,1851
60,4/3/2011,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,2134
61,5/3/2011,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,1685
62,6/3/2011,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,1944
63,7/3/2011,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,2077
64,8/3/2011,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,605
65,9/3/2011,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,1872
66,10/3/2011,1,0,3,0,4,1,3,0.389091,0.385668,0,0.261877,46,577,623,2133
67,11/3/2011,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,1891
68,12/3/2011,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,623
69,13/3/2011,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,1977
70,14/3/2011,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,2132
71,15/3/2011,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,2417
72,16/3/2011,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,2046
73,17/3/2011,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,2056
74,18/3/2011,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,2192
75,19/3/2011,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,2744
76,20/3/2011,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,3239
77,21/3/2011,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,3117
78,22/3/2011,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,2471
79,23/3/2011,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,2077
80,24/3/2011,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,2703
81,25/3/2011,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,2121
82,26/3/2011,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,1865
83,27/3/2011,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,2210
84,28/3/2011,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,2496
85,29/3/2011,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,1693
86,30/3/2011,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,2028
87,31/3/2011,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,2425
88,1/4/2011,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,1536
89,2/4/2011,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,1685
90,3/4/2011,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,2227
91,4/4/2011,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,2252
92,5/4/2011,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,3249
93,6/4/2011,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,3115
94,7/4/2011,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,1795
95,8/4/2011,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,2808
96,9/4/2011,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,3141
97,10/4/2011,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,1471
98,11/4/2011,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,2455
99,12/4/2011,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,2895
100,13/4/2011,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,3348
101,14/4/2011,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,2034
102,15/4/2011,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,2162
103,16/4/2011,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,3267
104,17/4/2011,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,3126
105,18/4/2011,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,795
106,19/4/2011,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,3744
107,20/4/2011,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,3429
108,21/4/2011,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,3204
109,22/4/2011,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,3944
110,23/4/2011,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,4189
111,24/4/2011,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,1683
112,25/4/2011,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,4036
113,26/4/2011,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,4191
114,27/4/2011,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,4073
115,28/4/2011,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,4400
116,29/4/2011,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,3872
117,30/4/2011,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,4058
118,1/5/2011,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,4595
119,2/5/2011,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,5312
120,3/5/2011,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,3351
121,4/5/2011,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,4401
122,5/5/2011,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,4451
123,6/5/2011,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,2633
124,7/5/2011,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,4433
125,8/5/2011,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,4608
126,9/5/2011,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,4714
127,10/5/2011,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,4333
128,11/5/2011,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,4362
129,12/5/2011,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,4803
130,13/5/2011,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,4182
131,14/5/2011,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,4864
132,15/5/2011,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,4105
133,16/5/2011,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,3409
134,17/5/2011,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,4553
135,18/5/2011,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,3958
136,19/5/2011,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,4123
137,20/5/2011,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,3855
138,21/5/2011,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,4575
139,22/5/2011,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,4917
140,23/5/2011,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,5805
141,24/5/2011,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,4660
142,25/5/2011,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,4274
143,26/5/2011,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,4492
144,27/5/2011,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,4978
145,28/5/2011,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,4677
146,29/5/2011,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,4679
147,30/5/2011,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,4758
148,31/5/2011,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,4788
149,1/6/2011,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,4098
150,2/6/2011,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,3982
151,3/6/2011,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,3974
152,4/6/2011,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,4968
153,5/6/2011,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,5312
154,6/6/2011,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,5342
155,7/6/2011,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,4906
156,8/6/2011,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,4548
157,9/6/2011,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,4833
158,10/6/2011,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,4401
159,11/6/2011,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,3915
160,12/6/2011,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,4586
161,13/6/2011,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,4966
162,14/6/2011,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,4460
163,15/6/2011,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,5020
164,16/6/2011,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,4891
165,17/6/2011,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,5180
166,18/6/2011,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,3767
167,19/6/2011,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,4844
168,20/6/2011,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,5119
169,21/6/2011,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,4744
170,22/6/2011,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,4010
171,23/6/2011,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,4835
172,24/6/2011,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,4507
173,25/6/2011,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,4790
174,26/6/2011,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,4991
175,27/6/2011,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708,5202
176,28/6/2011,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,5305
177,29/6/2011,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225,4708
178,30/6/2011,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,4648
179,1/7/2011,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,5225
180,2/7/2011,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,5515
181,3/7/2011,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649,5362
182,4/7/2011,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,5119
183,5/7/2011,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,4649
184,6/7/2011,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629,6043
185,7/7/2011,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838,4592,4665
186,8/7/2011,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692,3348,4040,4629
187,9/7/2011,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,4592
188,10/7/2011,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,4040
189,11/7/2011,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086,5336
190,12/7/2011,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258,4881
191,13/7/2011,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3594,4342,4086
192,14/7/2011,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,4196,5084,4258
193,15/7/2011,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,4342
194,16/7/2011,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418,3505,5923,5084
195,17/7/2011,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,5538
196,18/7/2011,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458,5923
197,19/7/2011,3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541,5302
198,20/7/2011,3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644,3688,4332,4458
199,21/7/2011,3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,3152,3784,4541
200,22/7/2011,3,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562,2825,3387,4332
201,23/7/2011,3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,987,2298,3285,3784
202,24/7/2011,3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050,2556,3606,3387
203,25/7/2011,3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,3285
204,26/7/2011,3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750,3840,4590,3606
205,27/7/2011,3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,755,3901,4656,3840
206,28/7/2011,3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390,4590
207,29/7/2011,3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670,3176,3846,4656
208,30/7/2011,3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,4390
209,31/7/2011,3,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524,2778,4302,3846
210,1/8/2011,3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729,3537,4266,4475
211,2/8/2011,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845,4302
212,3/8/2011,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467,3107,3574,4266
213,4/8/2011,3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,799,3777,4576,4845
214,5/8/2011,3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023,3843,4866,3574
215,6/8/2011,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521,2773,4294,4576
216,7/8/2011,3,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298,2487,3785,4866
217,8/8/2011,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,846,3480,4326,4294
218,9/8/2011,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,907,3695,4602,3785
219,10/8/2011,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884,3896,4780,4326
220,11/8/2011,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812,3980,4792,4602
221,12/8/2011,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051,3854,4905,4780
222,13/8/2011,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504,2646,4150,4792
223,14/8/2011,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338,2482,3820,4905
224,15/8/2011,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775,3563,4338,4150
225,16/8/2011,3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721,4004,4725,3820
226,17/8/2011,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668,4026,4694,4338
227,18/8/2011,3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639,3166,3805,4725
228,19/8/2011,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,797,3356,4153,4694
229,20/8/2011,3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914,3277,5191,3805
230,21/8/2011,3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249,2624,3873,4153
231,22/8/2011,3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,833,3925,4758,5191
232,23/8/2011,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281,4614,5895,3873
233,24/8/2011,3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,949,4181,5130,4758
234,25/8/2011,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435,3107,3542,5895
235,26/8/2011,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768,3893,4661,5130
236,27/8/2011,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,226,889,1115,3542
237,28/8/2011,3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415,2919,4334,4661
238,29/8/2011,3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729,3905,4634,1115
239,30/8/2011,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775,4429,5204,4334
240,31/8/2011,3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688,4370,5058,4634
241,1/9/2011,3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,783,4332,5115,5204
242,2/9/2011,3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875,3852,4727,5058
243,3/9/2011,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935,2549,4484,5115
244,4/9/2011,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521,2419,4940,4727
245,5/9/2011,3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236,2115,3351,4484
246,6/9/2011,3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,204,2506,2710,4940
247,7/9/2011,3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118,1878,1996,3351
248,8/9/2011,3,0,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,153,1689,1842,2710
249,9/9/2011,3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,417,3127,3544,1996
250,10/9/2011,3,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750,3595,5345,1842
251,11/9/2011,3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1633,3413,5046,3544
252,12/9/2011,3,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,690,4023,4713,5345
253,13/9/2011,3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,701,4062,4763,5046
254,14/9/2011,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647,4138,4785,4713
255,15/9/2011,3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428,3231,3659,4763
256,16/9/2011,3,0,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742,4018,4760,4785
